,id,timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,sub_area,area_m,raion_popul,healthcare_centers_raion,university_top_20_raion,shopping_centers_raion,oil_chemistry_raion,nuclear_reactor_raion,full_all,young_all,work_all,ekder_all,kremlin_km,big_road1_km,railroad_km,zd_vokzaly_avto_km,metro_km_avto,metro_km_walk,radiation_km,price_doc
24336,28305,2015-03-11,39,22.0,6.0,12.0,5.0,1966.0,2.0,7.0,3.0,Butyrskoe,5027634.0030000005,68630,1,0,5,no,no,155572,9507,43045,16078,8.472737147,0.350967039,0.306316794,4.686373226000001,1.178651802,1.07338722,1.5638192709999998,8400000
18190,15187,2014-02-19,71,43.0,6.0,10.0,1.0,2004.0,3.0,10.0,2.0,Kosino-Uhtomskoe,14883622.34,72131,1,0,0,no,no,102828,13954,49242,8935,17.26160384,2.909784746,2.568745875,22.96541349,1.650224805,1.650224805,1.691108791,9750000
16548,11598,2013-10-26,46,30.0,10.0,12.0,1.0,1980.0,2.0,2.0,2.0,Strogino,16751119.46,155427,1,0,10,no,no,156377,20003,97920,37504,14.96316392,0.4453863079999999,2.602603767,17.12251264,0.842694763,0.842694763,3.844198528,7300000
16714,11977,2013-11-09,41,26.0,5.0,5.0,1.0,1962.0,2.0,5.0,3.0,Danilovskoe,12495435.25,91100,3,0,11,no,no,102590,12370,54478,24252,4.032830001000001,1.2280390140000002,0.3900926329999999,5.331862797,1.672119547,1.442080979,2.03980379,1000000
16631,11807,2013-11-05,51,30.0,2.0,17.0,1.0,2004.0,2.0,9.0,2.0,Poselenie Shherbinka,7878765.472999999,32241,0,0,1,no,no,39873,4207,20445,7589,26.96296802,0.089420763,0.634248856,26.88835018,5.534670882,5.534670882,8.157618997,6100000
19539,18135,2014-05-05,38,18.0,7.0,17.0,1.0,2008.0,1.0,7.0,2.0,Dmitrovskoe,7126815.285,87713,1,0,5,no,yes,100846,9604,61600,16509,15.11186866,1.094354089,0.911279424,11.74372853,2.967915449,2.661707587,2.251249445,6000000
22699,24900,2014-11-18,38,20.0,2.0,14.0,2.0,1985.0,1.0,8.0,2.0,Birjulevo Zapadnoe,8464344.053,85721,0,0,0,no,no,145088,12273,54914,18534,19.26464013,0.308650373,0.931720255,19.61232521,5.9172792,5.6751048520000005,1.800902934,4950000
17898,14568,2014-02-04,77,45.0,14.0,17.0,1.0,1984.0,3.0,10.0,3.0,Zjablikovo,4602089.659,130229,0,0,5,no,no,48439,18221,82231,29777,16.59029175,1.500548838,3.952130829,18.29497013,0.920231711,0.920231711,2.010725465,11300000
18003,14801,2014-02-10,64,46.0,8.0,9.0,1.0,1978.0,4.0,6.0,3.0,Jasenevo,24813850.39,174831,1,0,7,no,no,178264,23483,105171,46177,15.42302711,2.84044046,4.846403195,17.54736387,1.831307276,1.663812384,2.711282869,8700000
17679,14100,2014-01-24,65,45.0,1.0,9.0,5.0,1973.0,3.0,6.0,3.0,Nagatinskij Zaton,9589336.912,115352,1,0,3,no,no,76284,15727,70194,29431,8.215013039,2.700271689,1.356395929,10.10957316,1.771610591,1.771610591,2.493597272,10100000
19606,18286,2014-05-08,43,28.0,4.0,5.0,2.0,1959.0,2.0,8.0,2.0,Mozhajskoe,16861532.79,132349,1,0,9,no,no,142462,20725,82808,28816,14.41709253,0.379313159,0.193646569,13.57720673,3.40182119,4.785336186,1.642932527,5550000
15983,10267,2013-09-04,72,43.0,8.0,14.0,2.0,1987.0,3.0,9.0,3.0,Koptevo,4787424.272,96959,4,0,0,no,no,78810,13901,59120,23938,10.04288171,1.728820019,0.895980887,10.38825214,2.334198397,1.890538512,3.645924604,12400000
17790,14348,2014-01-30,37,19.0,8.0,16.0,5.0,1983.0,1.0,10.0,3.0,Izmajlovo,15045565.2,102828,6,0,6,no,no,122862,10988,65499,26341,11.88761372,2.952841434,0.742746592,10.48916828,0.599204197,0.599204197,1.727976534,7000000
24012,27634,2015-01-30,63,38.0,3.0,9.0,1.0,1972.0,3.0,8.0,2.0,Kon'kovo,7811375.433999999,153248,3,0,11,no,no,123000,16468,100062,36718,11.58978426,2.719010207,4.69937115,12.83512361,1.275951415,1.042154397,1.505249343,10550000
17915,14602,2014-02-05,37,21.0,2.0,6.0,2.0,1932.0,2.0,6.0,2.0,Krasnosel'skoe,4996777.402,47245,3,0,6,no,no,55590,5670,30314,11261,3.061217085,1.345804591,0.114939638,0.751548687,0.719679,0.550325059,2.036688745,8700000
24523,28676,2015-03-27,60,60.0,11.0,17.0,1.0,2015.0,1.0,10.0,1.0,Filevskij Park,9629358.472,89467,3,0,6,no,no,112804,8294,65115,16058,6.514713376,1.412825045,0.042635682,7.586885057999999,2.117111901,2.083685484,0.7408695390000001,11299066
20221,19634,2014-06-11,45,30.0,3.0,5.0,5.0,1962.0,2.0,5.0,2.0,Severnoe Izmajlovo,4190070.548,85083,0,0,4,no,no,139322,11746,49742,23595,13.20138785,1.7503568319999998,2.042805976,11.1047785,0.976758183,0.735996902,2.003406717,6600000
17628,14008,2014-01-22,63,42.0,10.0,14.0,2.0,1972.0,3.0,8.0,3.0,Kuncevo,52351766.54,142462,0,0,3,no,no,78507,19784,85551,37127,16.33297608,0.604844255,1.602655226,18.630537,5.949922482000001,5.528864153,5.934563189,14100000
16415,11273,2013-10-16,37,19.0,13.0,14.0,1.0,1974.0,1.0,9.0,3.0,Perovo,9946335.108,139322,3,0,2,yes,no,36154,13799,91795,33728,10.45519718,0.5528937660000001,2.246456334,9.961454747,1.478734707,1.201064854,0.763235735,6500000
16610,11752,2013-10-31,38,19.0,9.0,14.0,1.0,1972.0,1.0,9.0,3.0,Teplyj Stan,8392316.21,130396,1,0,5,no,no,90114,15541,76776,38079,13.92142199,0.43915574,4.285900893,14.62568763,1.887157506,2.017408164,0.747588303,1000000
22226,23882,2014-10-23,47,31.0,6.0,12.0,1.0,1969.0,2.0,8.0,3.0,Nagatino-Sadovniki,7750777.821,76284,2,0,10,no,no,76156,10168,46080,20036,7.767014621,0.984679775,1.207875304,7.315715169,1.4632434019999998,1.441068028,2.282029177,8200000
23768,27135,2014-12-25,49,28.0,1.0,6.0,1.0,1940.0,2.0,5.0,2.0,Danilovskoe,12495435.25,91100,3,0,11,no,no,102590,12370,54478,24252,5.319607111,0.179954327,0.190561245,6.054785694,0.182848106,0.177954697,3.226484323,9250000
18212,15249,2014-02-20,71,50.0,4.0,9.0,2.0,1960.0,3.0,7.0,4.0,Begovoe,4048456.782,41504,1,0,0,no,no,73007,4842,25933,10729,3.389356568,1.24345173,0.05975684,0.646700554,0.61086233,1.758834169,1.88270844,11600000
18756,16452,2014-03-24,64,34.0,14.0,17.0,1.0,2004.0,2.0,11.0,3.0,Severnoe Butovo,8889466.752,90114,2,0,8,no,no,78616,10562,65270,14282,20.49939623,0.73422457,0.8446768990000001,20.64513672,0.934905191,0.934905191,2.4980043640000003,12300000
16574,11651,2013-10-29,44,29.0,6.0,9.0,1.0,1969.0,2.0,6.0,3.0,Ivanovskoe,10207215.1,122862,1,0,1,no,no,157010,12919,77612,32331,12.9077233,0.871848718,1.115226361,12.59161247,1.31072035,1.313924231,1.907131379,7200000
16149,10637,2013-09-20,78,40.0,12.0,25.0,4.0,2009.0,2.0,15.0,3.0,Solncevo,11324091.93,113897,2,0,5,no,no,125111,16287,75334,22276,17.35216619,2.205419036,0.879359698,20.54661213,0.6928685109999999,0.6928685109999999,5.039745462,5260000
20829,20985,2014-07-21,39,22.0,8.0,12.0,5.0,1971.0,2.0,6.0,3.0,Horoshevo-Mnevniki,18036436.51,166803,2,0,3,no,no,155427,24814,100601,41388,7.87971747,0.291565486,0.8001894820000001,6.951823673,0.906954453,0.906954453,1.494171971,8770000
16639,11823,2013-11-05,69,44.0,12.0,14.0,5.0,1974.0,3.0,8.0,4.0,Dmitrovskoe,7126815.285,87713,1,0,5,no,yes,100846,9604,61600,16509,15.05745792,0.313973571,1.659832311,11.55979666,2.4192252990000003,2.4192252990000003,2.844216617,9000000
21902,23170,2014-10-01,54,32.0,2.0,16.0,1.0,1978.0,2.0,9.0,3.0,Ivanovskoe,10207215.1,122862,1,0,1,no,no,157010,12919,77612,32331,13.33173036,0.61993309,1.3548299540000002,13.12042694,3.899279497,3.50314383,1.471864557,8650000
23544,26685,2014-12-17,54,32.0,4.0,17.0,1.0,1986.0,2.0,9.0,2.0,Krylatskoe,12164477.11,78507,2,0,6,no,no,67710,10175,48620,19712,12.91263074,0.6125394710000001,3.409519839,13.94953948,1.498972065,1.416015001,2.308669755,12100000
19964,19065,2014-05-29,33,19.0,3.0,9.0,1.0,1974.0,1.0,6.0,3.0,Otradnoe,10053051.74,175518,1,0,9,no,no,61396,21400,112133,41985,12.40095971,3.640233304,1.53511361,11.97652116,1.773588326,1.667376156,3.0761080310000004,6600000
23576,26751,2014-12-18,84,48.0,4.0,7.0,1.0,1997.0,3.0,8.0,3.0,Novokosino,3707575.212,103746,1,0,4,no,no,94561,11940,73158,18648,14.40711448,0.6072735029999999,2.0056548,18.89744756,3.1417352000000003,2.540416017,3.18249021,11300000
16011,10320,2013-09-06,41,29.0,4.0,8.0,1.0,2005.0,2.0,4.0,3.0,Ostankinskoe,12505755.08,61396,3,0,1,no,no,65972,7278,37484,16634,6.286251956,1.0550171190000002,0.338160867,2.731738431,2.175004266,1.718491257,2.168774932,7200000
16527,11558,2013-10-25,56,56.0,6.0,20.0,1.0,2013.0,2.0,1.0,1.0,Chertanovo Central'noe,6879019.637999999,112221,0,0,6,no,no,111874,16719,68254,27248,15.97532362,0.420153897,1.6595834180000002,15.53139117,0.685944854,0.685944854,3.434356536,9864900
23992,27598,2015-01-29,49,30.0,5.0,12.0,5.0,1973.0,2.0,9.0,2.0,Chertanovo Juzhnoe,9282438.657,143661,3,0,9,no,no,112221,17830,93309,32522,17.14197688,0.106172449,0.8285761340000001,16.55463969,0.5953193520000001,0.5953193520000001,2.256618175,8000000
20708,20728,2014-07-10,45,30.0,3.0,12.0,1.0,1972.0,2.0,6.0,2.0,Chertanovo Severnoe,6206098.885,111874,0,0,11,no,no,125354,13326,73503,25045,12.42681713,0.9005700259999999,1.157796907,12.19544462,0.527665698,0.527665698,0.998458273,8300000
16615,11769,2013-11-01,29,17.0,2.0,5.0,2.0,1965.0,1.0,5.0,3.0,Birjulevo Zapadnoe,8464344.053,85721,0,0,0,no,no,145088,12273,54914,18534,17.07791308,2.2139922380000003,0.265193202,19.62381201,5.693922047,5.6873579,1.54512048,4200000
16385,11206,2013-10-14,32,18.0,3.0,9.0,1.0,1968.0,1.0,6.0,3.0,Nagatinskij Zaton,9589336.912,115352,1,0,3,no,no,76284,15727,70194,29431,7.900253286,2.303207821,0.313620575,8.86041386,1.2736437390000002,1.430857424,3.480622269,6600000
24161,27916,2015-02-16,42,23.0,10.0,12.0,6.0,2014.0,1.0,10.0,1.0,Poselenie Rjazanovskoe,41335397.7,17790,0,0,0,no,no,7122,2633,11081,4076,30.51000813,3.020598445,0.762764497,35.10994796,10.67870192,10.67870192,11.95118301,1529745
24568,28784,2015-04-01,37,19.0,7.0,16.0,1.0,1990.0,1.0,8.0,2.0,Mar'ina Roshha,4684027.803,65972,3,0,7,no,no,26943,7150,43472,15350,4.908587304,0.670591986,0.150686464,2.728054548,0.362405826,0.362405826,3.387156868,7600000
23097,25716,2014-12-03,76,44.0,17.0,17.0,1.0,1989.0,3.0,10.0,2.0,Otradnoe,10053051.74,175518,1,0,9,no,no,61396,21400,112133,41985,12.5337743,2.378550244,0.986860479,10.59940454,1.02058217,0.937626247,1.817460474,12650000
19220,17430,2014-04-15,79,44.0,14.0,22.0,1.0,2004.0,3.0,10.0,2.0,Tekstil'shhiki,4808269.831,101708,1,0,0,no,no,101982,13028,63388,25292,9.158673107,0.617249548,0.8142261209999999,9.624996923,1.72244873,1.56690854,0.8214502,13500000
18690,16312,2014-03-20,64,40.0,10.0,12.0,2.0,2015.0,3.0,15.0,1.0,Poselenie Filimonkovskoe,35747947.91,2546,0,0,0,no,no,2942,365,1633,548,28.73814133,4.544916838,6.672811964,38.5338708,14.3385449,13.31457522,14.20739023,4270899
18251,15325,2014-02-22,53,32.0,6.0,17.0,1.0,1986.0,2.0,9.0,2.0,Krylatskoe,12164477.11,78507,2,0,6,no,no,67710,10175,48620,19712,12.79235831,0.387681185,3.5351429160000003,13.55964147,1.651721639,1.651721639,2.415801215,11200000
20703,20716,2014-07-09,40,18.0,7.0,14.0,2.0,1974.0,1.0,9.0,3.0,Meshhanskoe,4512002.453,57999,0,1,8,no,no,47245,5919,33502,18578,2.931048505,1.515177951,0.560030709,1.5907587230000002,1.261254305,0.7032765679999999,2.239380894,10600000
20063,19294,2014-06-03,50,33.0,4.0,9.0,1.0,1968.0,3.0,6.0,2.0,Hovrino,5264733.751,80791,0,0,1,no,no,81887,11356,47628,21807,14.22488045,2.176833886,0.585760234,11.50704202,2.7443680839999995,2.691546889,2.289769692,2500000
17941,14656,2014-02-06,72,48.0,8.0,9.0,2.0,1960.0,3.0,7.0,3.0,Lomonosovskoe,3326418.7410000004,83844,1,0,1,no,no,64317,10333,49242,24269,8.856147359,0.369927995,3.422045922,10.05166635,2.416954209,1.822378794,1.650581813,18000000
23270,26111,2014-12-09,67,44.0,5.0,12.0,5.0,1978.0,3.0,10.0,3.0,Juzhnoe Medvedkovo,3879802.193,81980,0,0,3,no,no,27992,10412,52793,18775,12.86789932,3.016311969,1.226519512,10.43533386,2.120156162,2.097586138,3.06457401,1000000
21897,23162,2014-09-30,53,32.0,6.0,17.0,1.0,2013.0,2.0,8.0,2.0,Nekrasovka,11391678.48,19940,0,0,0,no,no,247469,3459,13331,3150,19.4369908,3.3904887610000003,2.925371865,24.94573778,1.021663853,0.410875493,3.169041804,5900000
20626,20534,2014-07-02,38,17.0,12.0,25.0,1.0,2010.0,1.0,10.0,2.0,Otradnoe,10053051.74,175518,1,0,9,no,no,61396,21400,112133,41985,13.37974753,2.5587222990000003,0.110523595,11.29002159,2.336128165,2.031959841,1.353249251,7500000
21169,21574,2014-08-16,58,41.0,4.0,10.0,2.0,1968.0,3.0,5.0,2.0,Kotlovka,3998216.265,64317,0,0,3,no,no,153248,8284,41476,14557,6.758263527,1.394066489,0.33750024,6.263394197,0.906204523,0.906204523,0.987799717,1000000
16905,12406,2013-11-22,53,28.0,1.0,16.0,5.0,1982.0,2.0,11.0,2.0,Otradnoe,10053051.74,175518,1,0,9,no,no,61396,21400,112133,41985,11.68692735,2.727075725,0.774655085,9.500953366,0.7309117479999999,0.473828642,1.851870965,7300000
16814,12180,2013-11-15,30,15.0,1.0,12.0,1.0,1978.0,1.0,7.0,3.0,Orehovo-Borisovo Juzhnoe,7128794.338,145576,1,0,6,no,no,129207,13595,104635,27346,17.77122241,0.751382432,2.434258621,18.67239001,1.544118845,1.544118845,3.389692809,3000000
21924,23213,2014-10-02,59,43.0,3.0,5.0,5.0,1961.0,3.0,5.0,2.0,Gol'janovo,14286990.83,157010,3,0,5,no,no,12327,16831,98260,41919,11.86477352,3.322665889,1.124521242,9.089319218,1.341398088,1.286326377,1.029956139,7600000
23154,25824,2014-12-04,34,22.0,6.0,9.0,2.0,1972.0,2.0,5.0,4.0,Tekstil'shhiki,4808269.831,101708,1,0,0,no,no,101982,13028,63388,25292,8.943705452,0.905412368,0.389777755,9.762167173,1.859618981,1.129373869,0.5303069970000001,6500000
23387,26347,2014-12-12,61,30.0,11.0,24.0,1.0,2007.0,2.0,11.0,3.0,Kosino-Uhtomskoe,14883622.34,72131,1,0,0,no,no,102828,13954,49242,8935,18.08797052,4.245374964,3.882216476,23.43366688,2.46795328,2.174818696,3.028232871,2600000
20373,19987,2014-06-23,33,16.0,1.0,9.0,1.0,1970.0,1.0,7.0,2.0,Troparevo-Nikulino,11275073.5,112804,1,1,9,no,no,113897,14587,68234,29983,12.91569224,0.551019985,3.549018851,13.99029132,0.75101992,0.75101992,0.189569058,5450000
16255,10910,2013-10-02,52,52.0,17.0,17.0,1.0,2013.0,2.0,1.0,1.0,Nekrasovka,11391678.48,19940,0,0,0,no,no,247469,3459,13331,3150,20.54946417,1.905125046,1.214861324,24.06121446,3.776835959,3.776835959,4.317743898,5073100
23419,26432,2014-12-15,37,16.0,14.0,18.0,1.0,2006.0,1.0,8.0,2.0,Mozhajskoe,16861532.79,132349,1,0,9,no,no,142462,20725,82808,28816,13.41557251,0.103233548,1.065759083,11.21137221,3.3695776630000003,3.3695776630000003,1.5429860009999998,7400000
16702,11962,2013-11-08,54,33.0,2.0,5.0,2.0,1958.0,2.0,7.0,4.0,Horoshevo-Mnevniki,18036436.51,166803,2,0,3,no,no,155427,24814,100601,41388,7.966995151,0.603025705,0.706306579,7.144534771,1.099665551,1.099665551,1.5332888480000002,9500000
23860,27320,2015-01-16,52,30.0,15.0,17.0,1.0,2013.0,2.0,9.0,2.0,Severnoe Medvedkovo,5725729.259,122873,1,0,0,no,no,60315,19487,77062,26324,14.59944433,1.290914805,1.3844574719999998,11.87902496,1.097507421,1.097507421,1.404399407,2000000
25000,29750,2015-05-16,30,18.0,3.0,5.0,2.0,1960.0,1.0,6.0,3.0,Filevskij Park,9629358.472,89467,3,0,6,no,no,112804,8294,65115,16058,7.945891287,0.444645906,0.264129152,6.984726356,0.627909947,0.5807276579999999,0.13411088,6650000
24968,29681,2015-05-13,27,26.0,7.0,17.0,1.0,2015.0,1.0,10.0,1.0,Poselenie Filimonkovskoe,35747947.91,2546,0,0,0,no,no,2942,365,1633,548,28.73814133,4.544916838,6.672811964,38.5338708,14.3385449,13.31457522,14.20739023,2511697
21547,22410,2014-09-11,64,38.0,7.0,12.0,1.0,1987.0,3.0,8.0,2.0,Sviblovo,4441296.195,60315,1,0,5,no,no,37502,7706,40289,12320,11.97217071,2.427627826,1.800848952,9.56673725,1.313910237,1.313910237,3.040991388,10500000
18181,15174,2014-02-18,56,41.0,1.0,9.0,2.0,1971.0,3.0,5.0,2.0,Babushkinskoe,4934147.223999999,86206,1,0,3,no,no,55125,9734,52560,23912,12.320525,1.413541549,0.929360613,8.891598961,0.84320148,0.84320148,1.7502316480000002,8380000
23057,25638,2014-12-02,40,14.0,7.0,17.0,6.0,2016.0,1.0,10.0,1.0,Pokrovskoe Streshnevo,13089795.79,53786,4,0,5,no,no,178473,6931,33149,13706,13.63775104,2.38336989,0.546507683,11.95033253,2.503193979,2.503193979,0.4313087989999999,8916432
20647,20577,2014-07-04,79,1.0,7.0,1.0,1.0,2016.0,3.0,1.0,1.0,Tekstil'shhiki,4808269.831,101708,1,0,0,no,no,101982,13028,63388,25292,9.838742978,1.36324056,0.826892592,10.77877397,1.15156596,1.15156596,0.625419909,13697415
21229,21706,2014-08-20,39,18.0,8.0,17.0,1.0,2013.0,1.0,7.0,3.0,Poselenie Vnukovskoe,25536296.81,4001,0,0,1,no,no,17790,574,2566,861,21.60864594,2.676170361,0.655336915,24.85007055,2.434660101,2.463203177,9.306050872,3540000
16236,10867,2013-10-01,46,29.0,8.0,9.0,1.0,1973.0,2.0,6.0,3.0,Gol'janovo,14286990.83,157010,3,0,5,no,no,12327,16831,98260,41919,15.36857051,0.22394746,3.003778389,13.39345875,3.4971273660000004,3.419476087,3.31048141,6250000
24039,27694,2015-02-03,74,43.0,9.0,17.0,1.0,2012.0,3.0,12.0,3.0,Poselenie Vnukovskoe,25536296.81,4001,0,0,1,no,no,17790,574,2566,861,23.8245152,2.774804403,1.717616654,28.06993286,4.092704682,4.092704682,10.91011137,4200000
18972,16924,2014-04-03,31,17.0,3.0,5.0,5.0,1961.0,1.0,6.0,2.0,Preobrazhenskoe,5586342.585,83502,3,0,1,no,no,57405,7385,51951,24166,9.273592188,4.71477338,0.962387905,6.941974882,0.834970192,0.779136382,0.227953323,5500000
18841,16641,2014-03-27,45,28.0,6.0,14.0,5.0,1970.0,2.0,5.0,3.0,Rjazanskij,6377883.078,101982,0,0,0,no,no,83369,12842,62215,26925,10.92307831,1.012143709,1.306828638,12.45499802,0.889509467,0.889509467,0.956018305,7150000
19240,17464,2014-04-16,38,19.0,12.0,17.0,1.0,1987.0,1.0,8.0,2.0,Novokosino,3707575.212,103746,1,0,4,no,no,94561,11940,73158,18648,15.27122106,1.512396644,1.3502968869999998,19.16613753,0.621831177,0.621831177,3.916265264,5800000
18792,16529,2014-03-26,20,11.0,1.0,5.0,2.0,1970.0,1.0,3.0,2.0,Jaroslavskoe,8338438.453,94236,1,1,3,no,no,81980,14309,58882,21045,15.28147221,0.171698947,0.349535062,11.66205648,6.684127573,6.714507454,2.171348841,3600000
23832,27272,2015-01-13,42,26.0,4.0,5.0,5.0,1965.0,2.0,5.0,2.0,Beskudnikovskoe,3292112.223,73148,1,0,2,no,no,41504,9308,44449,19391,13.48747149,0.3942740939999999,0.914226485,9.947075079,1.171262002,0.865054139,3.016120229,6500000
23815,27228,2014-12-31,51,32.0,3.0,12.0,5.0,1974.0,2.0,9.0,3.0,Pechatniki,18445806.5,83369,0,0,2,no,no,43795,10341,51393,21635,9.929203937,3.206342217,0.514397607,11.78313431,1.443333575,1.443333575,0.935429988,8300000
25280,30460,2015-06-29,58,43.0,7.0,9.0,1.0,1979.0,3.0,6.0,3.0,Jaroslavskoe,8338438.453,94236,1,1,3,no,no,81980,14309,58882,21045,15.59481735,0.12207416,0.274043351,11.98755928,7.009630371,7.040010252,2.431708023,7800000
19824,18767,2014-05-22,72,0.0,10.0,0.0,2.0,2016.0,2.0,0.0,2.0,Poselenie Moskovskij,40366999.51,21819,0,0,2,no,no,7341,3128,13996,4695,15.75024402,0.718059625,1.720822365,21.64127957,1.780698378,1.780698378,2.925450824,7731241
17718,14192,2014-01-28,44,42.0,9.0,9.0,1.0,1975.0,2.0,5.0,2.0,Otradnoe,10053051.74,175518,1,0,9,no,no,61396,21400,112133,41985,11.80957252,3.539965745,1.296151893,8.796023942,1.33489672,1.33489672,2.679016219,6900000
21425,22152,2014-09-03,68,41.0,16.0,16.0,1.0,1987.0,3.0,8.0,2.0,Lomonosovskoe,3326418.7410000004,83844,1,0,1,no,no,64317,10333,49242,24269,9.972179963,0.8328166709999999,4.571892149,12.01205983,2.323848852,2.160176682,1.453025168,12500000
23162,25849,2014-12-04,64,64.0,14.0,17.0,4.0,2015.0,2.0,0.0,1.0,Poselenie Vnukovskoe,25536296.81,4001,0,0,1,no,no,17790,574,2566,861,22.45027177,2.8550634560000003,1.86400693,26.26304046,2.285812282,2.285812282,9.591465255,8056574
18199,15214,2014-02-19,54,36.0,1.0,5.0,2.0,1962.0,3.0,5.0,2.0,Novogireevo,4395332.782,94561,2,0,5,no,no,72131,13523,56908,24130,10.2256062,2.227840546,0.57728176,10.74256275,1.090383851,1.090383851,0.7584143870000001,7100000
21158,21554,2014-08-15,34,19.0,8.0,12.0,1.0,1973.0,1.0,10.0,1.0,Veshnjaki,10518366.87,118945,2,0,4,no,no,104410,11729,74032,33184,13.10520714,0.7854208979999999,1.061354835,13.82654294,1.033448219,1.033448219,2.175910119,5550000
23801,27209,2014-12-30,57,30.0,6.0,6.0,1.0,1995.0,2.0,11.0,3.0,Juzhnoe Butovo,26155137.04,178264,1,0,4,no,no,102618,30808,121369,26087,23.40215283,2.496414293,0.3952892229999999,24.97802152,0.768008925,0.768008925,5.449463684,8600000
18294,15420,2014-02-26,42,19.0,3.0,14.0,1.0,2007.0,1.0,8.0,3.0,Nagatinskij Zaton,9589336.912,115352,1,0,3,no,no,76284,15727,70194,29431,7.831304502,2.298036737,1.033545453,9.732544289,2.035826292,2.035826292,2.710845452,2000000
19181,17343,2014-04-14,45,27.0,7.0,9.0,1.0,1976.0,2.0,6.0,2.0,Zjablikovo,4602089.659,130229,0,0,5,no,no,48439,18221,82231,29777,16.36553849,1.94389576,3.647158552,17.5596545,0.555255019,0.555255019,2.00461664,7200000
