,index,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,aprovado
30,38,white,6.3,0.495,0.22,1.8,0.046,31.0,140.0,0.9929,3.39,,10.4,1
31,39,white,6.7,0.16,0.49,2.4,0.046,57.0,187.0,0.9952,3.62,0.81,10.4,1
32,40,red,9.1,0.28,0.48,1.8,0.067,26.0,46.0,0.9967,3.32,1.04,10.6,1
33,41,red,4.9,0.42,0.0,2.1,0.048,16.0,42.0,0.99154,3.71,0.74,14.0,1
34,42,red,7.7,0.58,0.1,1.8,0.102,28.0,109.0,0.99565,3.08,0.49,9.8,1
35,43,white,5.8,0.36,0.26,3.3,0.038,40.0,153.0,0.9911,3.34,0.55,11.3,1
36,44,white,6.8,0.23,0.29,15.4,0.073,56.0,173.0,0.9984,3.06,0.41,8.7,1
37,45,white,6.0,0.28,0.24,17.8,0.047,42.0,111.0,0.99896,3.1,0.45,8.9,1
38,46,white,8.4,0.58,0.27,12.15,0.033,37.0,116.0,0.9959,2.99,0.39,10.8,1
39,47,white,6.9,0.21,0.62,6.3,0.042,7.0,109.0,0.99358,2.96,0.59,10.2,1
40,49,white,8.0,0.45,0.28,10.8,0.051,25.0,157.0,0.9957,3.06,0.47,11.4,1
41,50,white,7.1,0.2,0.34,16.0,0.05,51.0,166.0,0.9985,3.21,0.6,9.2,1
42,51,red,7.3,0.52,0.32,2.1,0.07,51.0,70.0,0.99418,3.34,0.82,12.9,1
43,52,white,5.9,0.2,0.23,1.5,0.037,38.0,93.0,0.99021,3.36,0.49,12.0,1
44,53,red,8.2,0.44,0.24,2.3,0.063,10.0,28.0,0.99613,3.25,0.53,10.2,1
45,54,white,5.8,0.31,0.33,1.2,0.036,23.0,99.0,0.9916,3.18,0.6,10.5,1
46,55,white,7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.9954,3.13,0.46,9.8,1
47,56,red,8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,1
48,57,white,7.0,0.21,0.28,8.7,0.045,37.0,222.0,0.9954,3.25,0.54,10.4,1
49,58,white,7.0,0.18,0.49,5.3,0.04,34.0,125.0,0.9914,3.24,0.4,12.2,1
50,59,red,8.2,0.24,0.34,5.1,0.062,8.0,22.0,0.9974,3.22,0.94,10.9,1
51,60,white,8.0,0.2,0.3,8.1,0.037,42.0,130.0,0.99379,3.1,0.67,11.8,1
52,61,white,5.7,0.22,0.2,16.0,0.044,41.0,113.0,0.99862,3.22,0.46,8.9,1
53,63,red,9.7,0.295,0.4,1.5,0.073,14.0,21.0,0.99556,3.14,0.51,10.9,1
54,64,white,7.0,0.27,0.74,1.3,0.173,34.0,121.0,0.99334,3.04,0.46,9.2,1
55,66,white,5.8,0.32,0.28,4.3,0.032,46.0,115.0,0.98946,3.16,0.57,13.0,1
56,67,red,7.4,0.6,0.26,2.1,0.083,17.0,91.0,0.99616,3.29,0.56,9.8,1
57,68,white,6.7,0.3,0.29,2.8,0.025,37.0,107.0,0.99159,3.31,0.63,11.3,1
58,69,white,6.4,0.32,0.27,4.9,0.034,18.0,122.0,0.9916,3.36,0.71,12.5,1
59,70,red,7.6,0.54,0.02,1.7,0.085,17.0,31.0,0.99589,3.37,0.51,10.4,1
60,71,red,7.1,0.6,0.0,1.8,0.074,16.0,34.0,0.9972,3.47,0.7,9.9,1
61,72,white,6.7,0.15,0.29,5.0,0.058,28.0,105.0,0.9946,3.52,0.44,10.2,1
62,73,red,7.6,0.36,0.31,1.7,0.079,26.0,65.0,0.99716,3.46,0.62,9.5,1
63,74,red,8.9,0.48,0.53,4.0,0.101,3.0,10.0,0.99586,3.21,0.59,12.1,1
64,75,white,6.9,0.2,0.28,1.2,0.048,36.0,159.0,0.9936,3.19,0.43,9.1,1
65,76,white,8.1,0.27,0.33,1.3,0.045,26.0,100.0,0.99066,2.98,0.44,12.4,1
66,77,red,10.4,0.52,0.45,2.0,0.08,6.0,13.0,0.99774,3.22,0.76,11.4,1
67,82,white,5.6,0.225,0.24,9.8,0.054,59.0,140.0,0.99545,3.17,0.39,10.2,1
68,83,red,7.9,0.54,0.34,2.5,0.076,8.0,17.0,0.99235,3.2,0.72,13.1,1
69,84,white,6.8,0.28,0.29,11.9,0.052,51.0,149.0,0.99544,3.02,0.58,10.4,1
70,86,white,6.7,0.37,0.25,2.5,0.028,24.0,84.0,0.9909,3.14,0.36,11.7,1
71,88,white,5.8,0.2,0.16,1.4,0.042,44.0,99.0,0.98912,3.23,0.37,12.2,1
72,90,white,7.2,0.24,0.36,2.0,0.029,21.0,63.0,0.99076,3.13,0.63,12.5,1
73,91,white,7.3,0.26,0.53,12.7,0.047,60.5,164.5,0.9984,3.06,0.45,9.1,1
74,93,white,6.9,0.31,0.32,1.2,0.024,20.0,166.0,0.99208,3.05,0.54,9.8,1
75,94,white,6.3,0.22,0.33,1.7,0.041,67.0,164.0,0.9928,3.32,0.56,10.4,1
76,95,white,7.0,0.32,0.27,7.1,0.027,37.0,122.0,0.99165,3.15,0.6,12.6,1
77,96,white,7.6,0.27,0.52,3.2,0.043,28.0,152.0,0.99129,3.02,0.53,11.4,1
78,97,white,7.0,0.32,0.35,1.5,0.039,24.0,125.0,0.9918,3.17,0.64,12.2,1
79,98,white,7.4,0.2,0.37,1.2,0.028,28.0,89.0,0.99132,3.14,0.61,11.8,1
80,99,white,7.3,0.23,0.41,14.6,0.048,73.0,223.0,0.99863,3.16,0.71,9.4,1
81,100,white,7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,1
82,101,white,7.2,0.23,0.39,14.2,0.058,49.0,192.0,0.9979,2.98,0.48,9.0,1
83,102,white,6.8,0.25,0.29,2.0,0.042,19.0,189.0,0.9952,3.46,0.54,10.2,1
84,103,white,7.4,0.2,0.33,1.9,0.035,39.0,138.0,0.991,3.17,0.44,11.7,1
85,104,white,7.8,0.29,0.22,9.5,0.056,44.0,213.0,0.99715,3.08,0.61,9.3,1
86,105,white,8.7,0.23,0.32,13.4,0.044,35.0,169.0,0.99975,3.12,0.47,8.8,1
87,106,white,7.0,0.2,0.38,8.1,0.05,42.0,173.0,0.99585,3.3,0.54,9.8,1
88,107,white,7.0,0.17,0.33,4.0,0.034,17.0,127.0,0.9934,3.19,0.39,10.6,1
89,108,red,10.5,0.39,0.46,2.2,0.075,14.0,27.0,0.99598,3.06,0.84,11.4,1
90,110,red,7.2,,0.33,2.5,0.068,34.0,102.0,0.99414,3.27,0.78,12.8,1
91,112,red,7.0,0.65,0.02,2.1,0.066,8.0,25.0,0.9972,3.47,0.67,9.5,1
92,113,white,7.4,0.25,0.28,7.25,0.028,14.0,78.0,0.99238,2.94,0.37,11.5,1
93,114,white,6.8,0.14,0.35,1.5,0.047,40.0,117.0,0.99111,3.07,0.72,11.1,1
94,115,white,6.7,0.3,0.5,12.1,0.045,38.0,127.0,0.9974,3.04,0.53,8.9,1
95,116,white,9.0,0.245,0.38,5.9,0.045,52.0,159.0,0.995,2.93,0.35,10.2,1
96,117,white,7.1,0.27,0.27,10.4,0.041,26.0,114.0,0.99335,3.04,0.52,11.5,1
97,118,red,9.6,0.38,0.42,1.9,0.071,5.0,13.0,0.99659,3.15,0.75,10.5,1
98,119,white,7.3,0.36,0.62,7.1,0.033,48.0,185.0,0.99472,3.14,0.62,10.6,1
99,120,white,7.2,0.29,0.4,7.6,0.024,56.0,177.0,0.9928,3.04,0.32,11.5,1
100,122,white,6.6,0.25,0.32,5.6,0.039,15.0,68.0,0.99163,2.96,0.52,11.1,1
101,123,white,6.2,0.24,0.27,2.9,0.039,30.0,123.0,0.98959,3.12,0.37,12.8,1
102,124,white,7.1,0.39,0.79,1.4,0.194,23.0,90.0,0.99212,3.17,0.46,10.5,1
103,125,white,7.7,0.34,0.28,11.0,0.04,31.0,117.0,0.99815,3.27,0.29,9.2,1
104,126,white,7.0,0.12,0.29,10.3,0.039,41.0,98.0,0.99564,3.19,0.38,9.8,1
105,128,white,6.8,0.22,0.37,1.7,0.036,38.0,195.0,0.9908,3.35,0.72,12.5,1
106,129,white,5.4,0.46,0.15,2.1,0.026,29.0,130.0,0.98953,3.39,0.77,13.4,1
107,130,white,6.4,0.29,0.21,9.65,0.041,36.0,119.0,0.99334,2.99,0.34,10.93333333,1
108,131,white,6.1,0.19,0.37,2.6,0.041,24.0,99.0,0.99153,3.18,0.5,10.9,1
109,132,white,6.7,0.13,0.28,1.2,0.046,35.0,140.0,0.9927,3.33,0.33,10.1,1
110,134,white,6.5,0.27,0.19,6.6,0.045,98.0,175.0,0.99364,3.16,0.34,10.1,1
111,136,white,7.5,0.19,0.4,7.1,0.056,50.0,110.0,0.9954,3.06,0.52,9.9,1
112,137,white,6.2,0.25,0.25,1.4,0.03,35.0,105.0,0.9912,3.3,0.44,11.1,1
113,138,white,6.3,0.26,0.42,7.1,0.045,62.0,209.0,0.99544,3.2,0.53,9.5,1
114,139,white,6.0,0.17,0.21,6.0,0.05,26.0,134.0,0.9939,3.08,0.54,9.8,1
115,140,white,6.7,0.19,0.23,6.2,0.047,36.0,117.0,0.9945,3.34,0.43,9.6,1
116,141,white,7.0,0.24,0.36,2.8,0.034,22.0,112.0,0.99,3.19,0.38,12.6,1
117,142,white,6.7,0.16,0.37,1.3,0.036,45.0,125.0,0.98964,3.19,0.51,12.4,1
118,144,white,6.5,0.23,0.25,17.3,0.046,15.0,110.0,0.99828,3.15,0.42,9.2,1
119,147,white,5.4,0.415,0.19,1.6,0.039,27.0,88.0,0.99265,3.54,0.41,10.0,1
120,148,red,8.4,0.37,0.43,2.3,0.063,12.0,19.0,0.9955,3.17,0.81,11.2,1
121,149,white,5.8,0.315,0.19,19.4,0.031,28.0,106.0,0.99704,2.97,0.4,10.55,1
122,150,white,6.9,0.31,0.34,7.4,0.059,36.0,174.0,0.9963,3.46,0.62,11.1,1
123,153,white,7.7,0.29,0.48,2.3,0.049,36.0,178.0,0.9931,3.17,0.64,10.6,1
124,154,red,9.4,0.27,0.53,2.4,0.074,6.0,18.0,0.9962,3.2,1.13,12.0,1
125,155,red,8.3,0.76,0.29,4.2,0.075,12.0,16.0,0.9965,3.45,0.68,11.5,1
126,156,white,7.6,0.27,0.42,2.6,0.044,29.0,110.0,0.9912,3.31,0.51,12.7,1
127,160,white,6.6,0.12,0.25,1.4,0.039,21.0,131.0,0.99114,3.2,0.45,11.2,1
128,161,white,8.0,0.27,0.33,1.2,0.05,41.0,103.0,0.99002,3.0,0.45,12.4,1
129,162,white,6.2,0.28,0.45,7.5,0.045,46.0,203.0,0.99573,3.26,0.46,9.2,1
130,163,red,6.8,0.36,0.32,1.8,0.067,4.0,8.0,0.9928,3.36,0.55,12.8,1
131,164,red,6.0,0.42,0.19,2.0,0.075,22.0,47.0,0.99522,3.39,0.78,10.0,1
132,166,red,9.1,0.3,0.34,2.0,0.064,12.0,25.0,0.99516,3.26,0.84,11.7,1
133,167,white,6.3,0.41,0.18,3.5,0.027,23.0,109.0,0.99018,3.34,0.54,12.8,1
134,170,white,7.0,0.16,0.3,2.6,0.043,34.0,90.0,0.99047,2.88,0.47,11.2,1
135,171,white,6.2,0.27,0.32,6.3,0.048,47.0,159.0,0.99282,3.21,0.6,11.0,1
136,172,white,5.7,0.25,0.27,11.5,0.04,24.0,120.0,0.99411,3.33,0.31,10.8,1
137,174,red,10.8,0.4,0.41,2.2,0.084,7.0,17.0,0.9984,3.08,0.67,9.3,1
138,175,white,8.2,0.32,0.26,2.1,0.062,26.0,87.0,0.98974,3.1,0.47,12.8,1
139,177,red,10.0,0.48,0.24,2.7,0.102,13.0,32.0,1.0,3.28,0.56,10.0,1
140,178,white,7.0,0.16,0.26,7.3,0.047,30.0,220.0,0.99622,3.38,0.58,10.1,1
141,179,white,7.9,0.46,0.32,4.1,0.033,40.0,138.0,0.9912,3.18,0.44,12.8,1
142,180,white,6.8,0.18,0.38,1.4,0.038,35.0,111.0,0.9918,3.32,0.59,11.2,1
143,181,white,7.3,0.22,0.49,9.4,0.034,29.0,134.0,0.9939,2.99,0.32,11.0,1
144,185,white,6.2,0.24,0.35,1.2,0.038,22.0,167.0,0.9912,3.1,0.48,10.6,1
145,186,red,10.1,0.65,0.37,5.1,0.11,11.0,65.0,1.0026,3.32,0.64,10.4,1
146,187,white,6.8,0.24,0.35,6.4,0.048,44.0,172.0,0.9944,3.29,0.55,10.5,1
147,188,white,6.7,0.48,0.49,2.9,0.03,28.0,122.0,0.98926,3.13,0.4,13.0,1
148,189,white,7.7,0.27,0.49,3.8,0.037,46.0,139.0,0.99116,3.04,0.38,11.6,1
149,190,white,6.0,0.29,0.41,10.8,0.048,55.0,149.0,0.9937,3.09,0.59,11.0,1
150,191,white,6.8,0.24,0.33,3.2,0.049,68.0,161.0,0.99324,3.1,0.69,10.2,1
151,192,red,7.5,0.52,0.4,2.2,0.06,12.0,20.0,0.99474,3.26,0.64,11.8,1
152,193,white,6.8,0.25,0.34,14.0,0.032,47.0,133.0,0.9952,3.37,0.5,12.2,1
153,194,white,7.3,0.2,0.44,1.4,0.045,21.0,98.0,0.9924,3.15,0.46,10.0,1
154,195,white,6.0,0.25,0.28,7.7,0.053,37.0,132.0,0.99489,3.06,0.5,9.4,1
155,197,white,6.6,0.34,0.24,3.3,0.034,29.0,99.0,0.99031,3.1,0.4,12.3,1
156,198,white,8.0,0.17,0.29,2.4,0.029,52.0,119.0,0.98944,3.03,0.33,12.9,1
157,201,white,7.3,0.28,0.36,12.7,0.04,38.0,140.0,0.998,3.3,0.79,9.6,1
158,202,red,8.7,0.7,0.24,2.5,0.226,5.0,15.0,0.9991,3.32,0.6,9.0,1
159,203,white,9.5,0.42,0.41,2.3,0.034,22.0,145.0,0.9951,3.06,0.52,11.0,1
160,206,white,7.5,0.29,0.67,8.1,0.037,53.0,166.0,0.9966,2.9,0.41,8.9,1
161,207,white,6.8,0.2,0.36,1.6,0.028,7.0,46.0,0.99175,3.21,0.6,10.9,1
162,209,white,5.9,0.28,0.39,1.4,0.031,47.0,147.0,0.98836,3.08,0.64,12.9,1
163,210,red,10.2,0.54,0.37,15.4,0.214,55.0,95.0,1.00369,3.18,0.77,9.0,1
164,211,red,7.9,0.51,0.25,2.9,0.077,21.0,45.0,0.9974,3.49,0.96,12.1,1
165,214,white,5.9,0.22,0.3,1.3,0.052,42.0,86.0,0.99069,3.31,0.47,11.55,1
166,215,white,7.4,0.29,0.25,3.8,0.044,30.0,114.0,0.992,3.11,0.4,11.0,1
167,216,red,7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,1
168,217,white,6.6,0.25,0.3,1.6,0.046,32.0,134.0,0.993,3.42,0.51,10.1,1
169,218,white,6.9,0.2,0.3,4.7,0.041,40.0,148.0,0.9932,3.16,0.35,10.2,1
170,219,white,6.3,0.26,0.49,1.5,0.052,34.0,134.0,0.9924,2.99,0.61,9.8,1
171,220,white,6.9,0.36,0.35,8.6,0.038,37.0,125.0,0.9916,3.0,0.32,12.4,1
172,221,white,9.1,0.27,0.45,10.6,0.035,28.0,124.0,0.997,3.2,0.46,10.4,1
173,223,white,7.2,0.36,0.36,5.7,0.038,26.0,98.0,0.9914,2.93,0.59,12.5,1
174,224,white,7.8,0.32,0.33,10.4,0.031,47.0,194.0,0.99692,3.07,0.58,9.6,1
175,225,white,7.5,0.21,0.34,1.2,0.06,26.0,111.0,0.9931,3.51,0.47,10.7,1
176,226,white,7.2,0.24,0.3,1.2,0.037,11.0,95.0,0.98914,2.96,0.36,12.5,1
177,228,white,7.2,0.24,0.4,1.4,0.045,31.0,106.0,0.9914,2.88,0.38,10.8,1
178,229,red,9.1,0.22,0.24,2.1,0.078,1.0,28.0,0.999,3.41,0.87,10.3,1
179,230,white,6.3,0.48,0.04,1.1,0.046,30.0,99.0,0.9928,3.24,0.36,9.6,1
180,231,white,6.7,0.14,0.51,4.3,0.028,57.0,124.0,0.99176,2.91,0.54,10.7,1
181,232,white,8.7,0.3,0.34,4.8,0.018,23.0,127.0,0.99474,3.12,0.49,11.2,1
182,233,white,6.9,0.29,0.3,8.2,0.026,35.0,112.0,0.99144,3.0,0.37,12.3,1
183,234,white,6.9,0.25,0.3,4.1,0.054,23.0,116.0,0.994,2.99,0.38,9.4,1
184,235,white,6.5,0.25,0.32,9.9,0.045,41.0,128.0,0.99636,3.18,0.52,9.6,1
185,236,red,7.0,0.57,0.0,2.0,0.19,12.0,45.0,0.99676,3.31,0.6,9.4,1
186,237,white,5.7,0.22,0.22,16.65,0.044,39.0,110.0,0.99855,3.24,0.48,9.0,1
187,238,white,7.3,0.24,0.29,1.2,0.037,37.0,97.0,0.9926,3.19,0.7,10.1,1
188,239,white,7.6,0.2,0.39,2.6,0.044,30.0,180.0,0.9941,3.46,0.44,10.8,1
189,240,white,6.7,0.15,0.38,1.7,0.037,20.0,84.0,0.99046,3.09,0.53,11.4,1
190,241,white,7.2,0.22,0.49,1.0,0.045,34.0,140.0,0.99,3.05,0.34,12.7,1
191,242,white,6.2,0.15,0.27,11.0,0.035,46.0,116.0,0.99602,3.12,0.38,9.1,1
192,243,white,6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.993,3.47,0.48,10.5,1
193,244,red,6.7,0.32,0.44,2.4,0.061,24.0,34.0,0.99484,3.29,0.8,11.6,1
194,245,red,7.2,0.67,0.0,2.2,0.068,10.0,24.0,0.9956,3.42,0.72,11.1,1
195,247,red,8.7,0.52,0.09,2.5,0.091,20.0,49.0,0.9976,3.34,0.86,10.6,1
196,248,white,5.1,0.35,0.26,6.8,0.034,36.0,120.0,0.99188,3.38,0.4,11.5,1
197,249,white,6.4,0.3,0.36,2.0,0.052,18.0,141.0,0.99273,3.38,0.53,10.5,1
198,250,white,7.4,0.3,0.22,5.25,0.053,33.0,180.0,0.9926,3.13,0.45,11.6,1
199,252,white,6.7,0.35,0.32,9.0,0.032,29.0,113.0,0.99188,3.13,0.65,12.9,1
200,253,white,7.3,0.23,0.24,0.9,0.031,29.0,86.0,0.98926,2.9,0.38,12.2,1
201,254,white,6.8,0.22,0.35,17.5,0.039,38.0,153.0,0.9994,3.24,0.42,9.0,1
202,255,white,6.9,0.35,0.39,2.4,0.048,25.0,157.0,0.99133,3.2,0.54,11.1,1
203,257,white,6.5,0.28,0.34,4.6,0.054,22.0,130.0,0.99193,3.2,0.46,12.0,1
204,259,white,6.7,0.16,0.28,2.5,0.046,40.0,153.0,0.9921,3.38,0.51,11.4,1
205,261,white,6.9,0.37,0.28,13.8,0.031,34.0,137.0,0.9948,3.1,0.37,11.6,1
206,263,white,7.4,0.36,0.33,1.4,0.025,27.0,55.0,0.9915,3.21,0.33,11.2,1
207,264,white,6.2,0.16,0.34,1.7,0.038,85.0,153.0,0.9909,3.33,0.86,12.0,1
208,265,white,7.3,0.3,0.33,2.3,0.043,28.0,125.0,0.99084,3.34,0.44,12.6,1
209,266,white,6.7,0.45,0.3,5.3,0.036,27.0,165.0,0.99122,3.12,0.46,12.2,1
210,267,red,7.9,0.58,0.23,2.3,0.076,23.0,94.0,0.99686,3.21,0.58,9.5,1
211,270,white,6.6,0.25,0.35,2.9,0.034,38.0,121.0,0.99008,3.19,0.4,12.8,1
212,271,white,5.2,0.5,0.18,2.0,0.036,23.0,129.0,0.98949,3.36,0.77,13.4,1
213,272,white,7.0,0.28,0.32,1.7,0.038,27.0,128.0,0.99375,3.2,0.62,10.2,1
214,273,white,6.9,0.28,0.41,1.7,0.05,10.0,136.0,0.993,3.16,0.71,11.4,1
215,274,red,7.8,0.58,0.13,2.1,0.102,17.0,36.0,0.9944,3.24,0.53,11.2,1
216,275,white,5.2,0.365,0.08,13.5,0.041,37.0,142.0,0.997,3.46,0.39,9.9,1
217,276,red,6.7,0.46,0.24,1.7,0.077,18.0,34.0,0.9948,3.39,0.6,10.6,1
218,277,white,5.8,0.28,0.3,3.9,0.026,36.0,105.0,0.98963,3.26,0.58,12.75,1
219,278,white,6.5,0.22,0.29,7.4,0.028,16.0,87.0,0.99311,3.15,0.56,10.9,1
220,279,white,6.4,0.3,0.51,5.5,0.048,62.0,172.0,0.9942,3.08,0.45,9.1,1
221,280,red,5.0,0.4,0.5,4.3,0.046,29.0,80.0,0.9902,3.49,0.66,13.6,1
222,281,red,6.2,0.43,0.22,1.8,0.078,21.0,56.0,0.99633,3.52,0.6,9.5,1
223,282,white,6.4,0.16,0.25,1.4,0.057,21.0,125.0,0.99091,3.23,0.44,11.1,1
224,283,white,6.8,0.23,0.29,12.2,0.035,38.0,236.0,0.9976,3.35,0.52,9.8,1
225,285,red,10.8,0.4,0.41,2.2,0.084,7.0,17.0,0.9984,3.08,0.67,9.3,1
226,286,white,6.6,0.36,0.47,1.4,0.145,26.0,124.0,0.99274,3.09,0.56,10.1,1
227,287,white,6.4,0.26,0.42,9.7,0.044,30.0,140.0,0.9962,3.18,0.47,9.1,1
228,288,white,5.5,0.42,0.09,1.6,0.019,18.0,68.0,0.9906,3.33,0.51,11.4,1
229,289,white,6.8,0.25,0.34,4.7,0.031,34.0,134.0,0.9927,3.21,0.38,10.6,1
230,290,red,8.6,0.22,0.36,1.9,0.064,53.0,77.0,0.99604,3.47,0.87,11.0,1
231,291,white,6.7,0.31,0.31,4.9,0.031,20.0,151.0,0.9926,3.36,0.82,12.0,1
232,293,white,7.2,0.33,0.34,2.0,0.044,61.0,171.0,0.98947,3.25,0.53,13.3,1
233,296,white,7.3,0.29,0.3,13.0,0.043,46.0,238.0,0.9986,3.06,0.41,8.7,1
234,297,white,6.5,0.32,0.3,2.3,0.051,20.0,127.0,0.98964,3.13,0.52,12.8,1
235,298,white,7.6,0.31,0.27,5.8,0.036,23.0,109.0,0.99399,3.34,0.54,11.0,1
236,299,white,6.8,0.29,0.49,1.4,0.142,52.0,148.0,0.9937,3.08,0.49,9.0,1
237,300,white,7.1,0.13,0.4,1.2,0.047,54.0,134.0,0.9932,3.3,0.97,9.8,1
238,301,white,6.6,0.26,0.28,9.4,0.028,13.0,121.0,0.99254,3.17,0.34,12.1,1
239,302,red,15.0,0.21,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,9.2,1
240,303,white,7.4,0.25,0.37,6.9,0.02,14.0,93.0,0.9939,3.0,0.48,10.7,1
241,306,red,6.2,0.57,0.1,2.1,0.048,4.0,11.0,0.99448,3.44,0.76,10.8,1
242,307,white,6.5,0.16,0.33,1.0,0.027,23.0,75.0,0.9908,3.3,0.39,11.4,1
243,308,red,7.1,0.22,0.49,1.8,0.039,8.0,18.0,0.99344,3.39,0.56,12.4,1
244,309,red,5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,1
245,310,white,6.6,0.27,0.49,7.8,0.049,62.0,217.0,0.9959,3.17,0.45,9.4,1
246,311,white,7.1,0.17,0.4,14.55,0.047,47.0,156.0,0.99945,3.34,0.78,9.1,1
247,312,white,7.4,0.16,0.3,1.4,0.064,34.0,166.0,0.99136,3.11,0.42,11.43333333,1
248,314,white,6.2,0.19,0.38,5.1,0.019,22.0,82.0,0.98961,3.05,0.36,12.5,1
249,315,white,6.6,0.27,0.25,1.2,0.033,36.0,111.0,0.98918,3.16,0.37,12.4,1
250,316,white,7.0,0.36,0.35,2.5,0.048,67.0,161.0,0.99146,3.05,0.56,11.1,1
251,317,red,6.8,0.81,0.05,2.0,0.07,6.0,14.0,0.99562,3.51,0.66,10.8,1
252,318,white,6.8,0.37,0.28,4.0,0.03,29.0,79.0,0.99,3.23,0.46,12.4,1
253,319,white,6.8,0.28,0.36,8.0,0.045,28.0,123.0,0.9928,3.02,0.37,11.4,1
254,320,white,7.5,0.25,0.32,8.2,0.024,53.0,209.0,0.99563,3.12,0.46,10.8,1
255,323,red,11.6,0.44,0.64,2.1,0.059,5.0,15.0,0.998,3.21,0.67,10.2,1
256,324,red,5.8,0.61,0.11,1.8,0.066,18.0,28.0,0.99483,3.55,0.66,10.9,1
257,325,white,8.2,0.27,0.43,1.6,0.035,31.0,128.0,0.9916,3.1,0.5,12.3,1
258,326,white,7.3,0.25,0.36,13.1,0.05,35.0,200.0,0.9986,3.04,0.46,8.9,1
259,327,white,7.7,0.27,0.49,1.8,0.041,23.0,86.0,0.9914,3.16,0.42,12.5,1
260,328,white,6.8,0.18,0.32,7.2,0.047,17.0,109.0,0.99498,3.42,0.44,10.4,1
